DATETIME;DOCUMENT;USERNAME;COMPUTER;PRINTER;COUNT
2019-04-30 12:13:40.954042;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:50.501102;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:13:57.219980;Акт-выверки-2818-20180701-20181231.pdf (1).pdf;sagun.ms;KRMPZX644;Office_mb1;2
2019-04-30 12:13:57.344984;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:14:04.923254;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:14:36.548861;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:14:55.346098;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:15:05.768171;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:19:44.461021;Безымянный — Блокнот;solodovnikov_am;DSAKR;kr_tovar_1;1
2019-04-30 12:19:53.992455;Microsoft Word - Документ1;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 12:20:34.305729;Microsoft Word - Документ1;chistyakova_oa;KRMPZX643;Office_mb5;1
2019-04-30 12:21:27.838007;Microsoft Word - Документ Microsoft Word;kirilenko_kv;ST179SB;Office_mb3;1
2019-04-30 12:22:15.385794;Microsoft Word - Документ Microsoft Word;kirilenko_kv;ST179SB;Office_mb3;1
2019-04-30 12:22:26.323505;Разбивка СИА № 3 август 2018.xlsx;martynenko.av;ST186SB;Office_mb5;2
2019-04-30 12:22:59.214762;Microsoft Word - Документ1;chistyakova_oa;KRMPZX643;Office_mb5;1
2019-04-30 12:23:46.371918;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:23:53.715807;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:23:56.715864;Microsoft Word - Документ1;chistyakova_oa;KRMPZX643;Office_mb5;1
2019-04-30 12:24:01.340954;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:24:10.794262;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:24:23.700760;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:24:46.482447;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:24:56.498264;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:07.139091;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:13.951725;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:21.654997;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:29.295769;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:37.077168;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:25:42.764776;Microsoft Word - Документ1;chistyakova_oa;KRMPZX643;Office_mb5;1
2019-04-30 12:25:44.842941;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:29:02.127979;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 12:45:58.022484;Microsoft Word - Ставрополь отпуск;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 12:56:10.971752;Microsoft Office Outlook - Заметка;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 12:56:17.315624;Microsoft Office Outlook - Заметка;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 12:56:23.440742;Microsoft Office Outlook - Заметка;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 12:56:33.909695;Microsoft Office Outlook - Заметка;martynenko.av;ST186SB;Office_mb5;2
2019-04-30 13:07:39.297468;Отчет не верн.наклад..xlsx;varnavskaya.va;\\192.168.152.181;krd001242;1
2019-04-30 13:12:42.334538;FastReport: Перемещение (сборочный лист);sklad_krd;\\KRMPZX360;krd001243;1
2019-04-30 13:23:50.753620;КПЭ ОС  с 01 02 2019 (2).xlsx;boriskina.no;KRMPZX648;Office_mb3;1
2019-04-30 13:26:03.990553;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 13:26:39.131853;На резолюцию НОСа;vasilyeva.na;KRMPZX262;kr_tovar_1;1
2019-04-30 13:36:03.111431;Во всю страницу;moshnova_iv;KRMPZX473;Office_mb1;1
2019-04-30 13:45:22.481544;FastReport: Накладная СВОДНАЯ (посерийно) (пак) Новая;martynenko.av;ST186SB;Office_mb5;2
2019-04-30 13:47:04.499128;FastReport: Перемещение (сборочный лист);eremenko.ds;\\192.168.152.152;krd001243;1
2019-04-30 13:49:10.860931;Краснодар ГСК 90 06 05 2019 (2).xlsx;brindin_sv;KRMPZX654;krd001242;1
2019-04-30 13:49:19.954855;Краснодар ГСК 90 06 05 2019 (2).xlsx;brindin_sv;KRMPZX654;krd001242;1
